ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ
2025,45658,0.145833333,45658,0.84375,9966371,กรมทางหลวง,ทางหลวง,3901,บึงคำพร้อย - คลองพระยาสุเรนทร์,32.6,กรุงเทพมหานคร,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,13.91124258,100.7002582,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2025,45658,0.145833333,45659,0.179861111,9966584,กรมทางหลวง,ทางหลวง,115,คลองโนน - เนินสมอ,91.185,,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,อื่นๆ,แจ่มใส,16.45693886,100.3413829,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,0.152777778,45677,0.470833333,9995834,กรมทางหลวงชนบท,ทางหลวงชนบท,ปท.3023,แยกทางหลวงหมายเลข 305 (กม.ที่ 26+350) - เลียบคลอง 11 ฝั่งตะวันตก,5.77,ปทุมธานี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,14.112847,100.846069,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.166666667,45658,0.76875,9966212,กรมทางหลวง,ทางหลวง,201,ปากภู - เชียงคาน,354.959,,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,17.55976191,101.7280139,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.1875,45658,0.823611111,9966287,กรมทางหลวง,ทางหลวง,4103,เบญจม - จังหูน,20.62,นครศรีธรรมราช,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,8.379808758,99.92157606,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2025,45658,0.1875,45658,0.819444444,9966291,กรมทางหลวง,ทางหลวง,3497,ช้างแรก - บางสะพานน้อย,9.063,,รถตู้,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,11.0800756,99.45200166,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,0.1875,45658,0.919444444,9966481,กรมทางหลวง,ทางหลวง,222,พังโคน - เดื่อศรีคันไชย,1.85,สกลนคร,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,17.4050135,103.7255727,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.1875,45659,0.575694444,9966866,กรมทางหลวง,ทางหลวง,21,ศรีเทพ - ซับสมอทอด,119.177,เพชรบูรณ์,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ยางเสื่อมสภาพ/ยางแตก,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,15.59632958,101.0663036,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3
2025,45658,0.197916667,45659,0.243055556,9966654,กรมทางหลวง,ทางหลวง,4021,เมืองภูเก็ต - ห้าแยกฉลอง,4.98,,รถจักรยานยนต์,,เมาสุรา,ชนท้าย,แจ่มใส,7.83370567,98.34734313,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.201388889,45658,0.921527778,9966473,กรมทางหลวง,ทางหลวง,407,คลองหวะ - ควนหิน,1.4,สงขลา,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,6.985950252,100.4821037,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
